protein,replicate,selection,stat,pval,pass
1k5n_A,2,bb,0.404885141029369,2.69191018513097e-09,TRUE
1k5n_A,2,ca,0.257807502180867,0.000506264253721715,TRUE
1k5n_A,3,all,0.76423378889212,4.96287150369901e-32,TRUE
1k5n_A,3,bb,0.412968886304158,1.18112874144532e-09,TRUE
1k5n_A,3,ca,0.464030241349229,4.45700826234328e-12,TRUE
1nty_A,1,all,0.418945395689582,6.19776135448643e-12,TRUE
1nty_A,1,bb,0.483601669648181,9.24249469352586e-16,TRUE
1nty_A,1,ca,0.669435215946844,8.23369671253321e-30,TRUE
1nty_A,2,all,0.256963966266292,9.36080934237943e-05,TRUE
1nty_A,2,bb,0.310929380696822,9.15736138285111e-07,TRUE
1nty_A,2,ca,0.34713348666837,2.50932792330234e-08,TRUE
1nty_A,3,all,0.403313740523043,4.31561732961423e-11,TRUE
1nty_A,3,bb,0.572195246613851,6.79893222167886e-22,TRUE
1nty_A,3,ca,0.46690518783542,1.01488437968163e-14,TRUE
1qlm_A,1,all,0.143099107347219,0.0302796098472501,TRUE
1qlm_A,1,bb,0.0974822613870451,0.285273032183819,FALSE
1qlm_A,1,ca,0.0849164568551156,0.45182262257688,FALSE
1qlm_A,2,all,0.0777294575417716,0.566661224005372,FALSE
1qlm_A,2,bb,0.108491645685512,0.179739358569205,FALSE
1qlm_A,2,ca,0.0755550469214923,0.603223354292118,FALSE
1qlm_A,3,all,0.144220645456626,0.0283473323340322,TRUE
1qlm_A,3,bb,0.142320897230488,0.0316876602804485,TRUE
1qlm_A,3,ca,0.102037079423209,0.237136101564145,FALSE
1m5q_Z,1,all,0.459280303030303,1.13702002218108e-06,TRUE
1m5q_Z,1,bb,0.500473484848485,5.56899812415299e-08,TRUE
1m5q_Z,1,ca,0.610795454545455,8.22852018677654e-12,TRUE
1m5q_Z,2,all,0.182291666666667,0.193937149427472,FALSE
1m5q_Z,2,bb,0.212594696969697,0.0871073061168332,FALSE
1m5q_Z,2,ca,0.168560606060606,0.269505342400102,FALSE
1m5q_Z,3,all,0.68844696969697,3.57307490528942e-15,TRUE
1m5q_Z,3,bb,0.289772727272727,0.00654396630313461,TRUE
1m5q_Z,3,ca,0.160037878787879,0.331050919609938,FALSE
1nij_A,1,all,0.125640150221919,0.19512736606305,FALSE
1nij_A,1,bb,0.471065209969273,1.25525635426248e-14,TRUE
1nij_A,1,ca,0.231990440423353,0.000718532532514492,TRUE
1nij_A,2,all,0.368982587913964,3.86559090971848e-09,TRUE
1nij_A,2,bb,0.411061795834756,3.06494117458875e-11,TRUE
1nij_A,2,ca,0.193069306930693,0.00822792770399801,TRUE
1nij_A,3,all,0.147405257767156,0.0813459363715986,FALSE
1nij_A,3,bb,0.130419938545579,0.162987350280878,FALSE
1nij_A,3,ca,0.0621372482075794,0.938510980323299,FALSE
1m5q_I,1,all,0.676923076923077,1.84425781437341e-14,TRUE
1m5q_I,1,bb,0.615384615384615,8.1107265850361e-12,TRUE
1m5q_I,1,ca,0.723076923076923,1.07619467054959e-16,TRUE
1m5q_I,2,all,0.184615384615385,0.218958513616428,FALSE
1m5q_I,2,bb,0.123076923076923,0.712644898447394,FALSE
1m5q_I,2,ca,0.230769230769231,0.0624998611061568,FALSE
1m5q_I,3,all,0.338461538461538,0.00106837380447526,TRUE
1m5q_I,3,bb,0.138461538461538,0.565145504151357,FALSE
1m5q_I,3,ca,0.184615384615385,0.218958513616428,FALSE
1vct_A,1,all,0.788645690834473,2.14647911629897e-27,TRUE
1vct_A,1,bb,0.8390658589017,5.93004088957869e-31,TRUE
1vct_A,1,ca,0.817080320500293,2.24859090414749e-29,TRUE
1vct_A,2,all,0.53781512605042,5.73961918919507e-13,TRUE
1vct_A,2,bb,0.568204025796365,2.00201464212394e-14,TRUE
1vct_A,2,ca,0.512605042016807,8.0751560566937e-12,TRUE
1vct_A,3,all,0.155853038889975,0.176793911909882,FALSE
1vct_A,3,bb,0.277408637873754,0.000920682346173695,TRUE
1vct_A,3,ca,0.179206566347469,0.0809919497334425,FALSE
1nns_A,1,all,0.298357963875205,3.33738411228076e-06,TRUE
1nns_A,1,bb,0.300903119868637,2.65713241412133e-06,TRUE
1nns_A,1,ca,0.219704433497537,0.00147262851967062,TRUE
1nns_A,2,all,0.352627257799672,1.69993119074493e-08,TRUE
1nns_A,2,bb,0.409934318555008,2.47798960787585e-11,TRUE
1nns_A,2,ca,0.460344827586207,3.5209964259443e-14,TRUE
1nns_A,3,all,0.14679802955665,0.0798610414195286,FALSE
1nns_A,3,bb,0.159031198686371,0.0456597218614125,TRUE
1nns_A,3,ca,0.114449917898194,0.281633049305792,FALSE
1y6i_A,1,all,0.182965803771173,0.0548381788442941,FALSE
1y6i_A,1,bb,0.143975711089805,0.215434736294023,FALSE
1y6i_A,1,ca,0.174336848833493,0.076369617010424,FALSE
1y6i_A,2,all,0.836129753914989,4.80818169023555e-33,TRUE
1y6i_A,2,bb,0.786992649408757,2.53043953653341e-29,TRUE
1y6i_A,2,ca,0.719878555449025,1.32374077311536e-24,TRUE
1y6i_A,3,all,0.363614573346117,1.35564955317563e-06,TRUE
1y6i_A,3,bb,0.407957813998082,3.43397947279148e-08,TRUE
1y6i_A,3,ca,0.334372003835091,1.21471784206225e-05,TRUE
1rl6_A,1,all,0.471262886597938,2.29501314189103e-09,TRUE
1rl6_A,1,bb,0.479381443298969,1.09847538007642e-09,TRUE
1rl6_A,1,ca,0.644072164948454,9.70198590781812e-18,TRUE
1rl6_A,2,all,0.265335051546392,0.00317290784430109,TRUE
1rl6_A,2,bb,0.219716494845361,0.0236652947473456,TRUE
1rl6_A,2,ca,0.366752577319588,8.74572050471107e-06,TRUE
1rl6_A,3,all,0.152319587628866,0.229557151209312,FALSE
1rl6_A,3,bb,0.163917525773196,0.164625460496091,FALSE
1rl6_A,3,ca,0.141494845360825,0.305305984495859,FALSE
1qcs_A,1,all,0.37010347376201,1.57656748346519e-06,TRUE
1qcs_A,1,bb,0.39440133037694,2.34434947934866e-07,TRUE
1qcs_A,1,ca,0.405672579453067,9.29418649172532e-08,TRUE
1qcs_A,2,all,0.385624538063563,4.73225066954275e-07,TRUE
1qcs_A,2,bb,0.414634146341463,4.37179392358795e-08,TRUE
1qcs_A,2,ca,0.427660753880266,1.41829052027853e-08,TRUE
1qcs_A,3,all,0.125,0.399272402856015,FALSE
1qcs_A,3,bb,0.276884700665188,0.000767418772474017,TRUE
1qcs_A,3,ca,0.200388026607539,0.0324945471928097,TRUE
1tzw_A,1,all,0.615448504983389,1.38602663863022e-12,TRUE
1tzw_A,1,bb,0.686046511627907,7.80991773764857e-16,TRUE
1tzw_A,1,ca,0.581395348837209,3.55885714166231e-11,TRUE
1tzw_A,2,all,0.283637873754153,0.00645720375299989,TRUE
1tzw_A,2,bb,0.203488372093023,0.101651134850401,FALSE
1tzw_A,2,ca,0.418604651162791,7.09122301398649e-06,TRUE
1tzw_A,3,all,0.166528239202658,0.265712450055926,FALSE
1tzw_A,3,bb,0.0980066445182724,0.858933704643181,FALSE
1tzw_A,3,ca,0.198920265780731,0.115875706058439,FALSE
2bln_B,1,all,0.550038270187524,1.95149683630781e-18,TRUE
2bln_B,1,bb,0.610361653272101,1.3281158688825e-22,TRUE
2bln_B,1,ca,0.564628779181018,2.09981171405313e-19,TRUE
2bln_B,2,all,0.563193647148871,2.62141536498968e-19,TRUE
2bln_B,2,bb,0.554247990815155,1.03186640351289e-18,TRUE
2bln_B,2,ca,0.548650975889782,2.40494673625192e-18,TRUE
2bln_B,3,all,0.299559892843475,9.09787640191815e-06,TRUE
2bln_B,3,bb,0.273009950248756,7.30993735596685e-05,TRUE
2bln_B,3,ca,0.270761576731726,8.64363581177522e-05,TRUE
1t7v_A,1,all,0.290192694851884,5.33100206110656e-05,TRUE
1t7v_A,1,bb,0.330054644808743,2.42010769516209e-06,TRUE
1t7v_A,1,ca,0.214897900488927,0.00620243274646706,TRUE
1t7v_A,2,all,0.287949381650848,6.26984572782221e-05,TRUE
1t7v_A,2,bb,0.148231233822261,0.128059707106558,FALSE
1t7v_A,2,ca,0.273224043715847,0.000176243203232723,TRUE
1t7v_A,3,all,0.262985332182916,0.000350205977522687,TRUE
1t7v_A,3,bb,0.260569456427955,0.000410229967802064,TRUE
1t7v_A,3,ca,0.440782283577797,5.59278786545164e-11,TRUE
1tez_B,1,all,0.224391629580532,2.6843482649336e-05,TRUE
1tez_B,1,bb,0.359416721901335,6.32557942158489e-13,TRUE
1tez_B,1,ca,0.250449768014393,1.70427190321281e-06,TRUE
1tez_B,2,all,0.458573998674368,8.96703344535996e-21,TRUE
1tez_B,2,bb,0.528321181706278,1.95938583440633e-27,TRUE
1tez_B,2,ca,0.501391913644541,9.44739895216612e-25,TRUE
1tez_B,3,all,0.070372123851908,0.63936393306248,FALSE
1tez_B,3,bb,0.19047438689518,0.000617173258047268,TRUE
1tez_B,3,ca,0.120689328662058,0.0779035601766304,FALSE
1rrm_A,1,all,0.32865402716149,1.83240869597658e-09,TRUE
1rrm_A,1,bb,0.508242570929138,4.86344966300591e-22,TRUE
1rrm_A,1,ca,0.32986419255076,1.57159466040923e-09,TRUE
1rrm_A,2,all,0.493801263950518,7.90292585499649e-21,TRUE
1rrm_A,2,bb,0.609896463627807,1.50036807171785e-31,TRUE
1rrm_A,2,ca,0.260320021514051,4.27247126653106e-06,TRUE
1rrm_A,3,all,0.265080005378513,2.63886490057222e-06,TRUE
1rrm_A,3,bb,0.167325534489714,0.00908481705681443,TRUE
1rrm_A,3,ca,0.103106091165793,0.257372260331262,FALSE
1vbi_A,1,all,0.201992666216347,1.89977135543753e-05,TRUE
1vbi_A,1,bb,0.201220688989675,2.07499345677016e-05,TRUE
1vbi_A,1,ca,0.184574930039564,0.000128086656594121,TRUE
1vbi_A,2,all,0.0843264498697288,0.265883759084713,FALSE
1vbi_A,2,bb,0.0926252050564508,0.175657246968366,FALSE
1vbi_A,2,ca,0.0721436842613143,0.452002604179135,FALSE
1vbi_A,3,all,0.0515656663128438,0.845413539466243,FALSE
1vbi_A,3,bb,0.0521084628003474,0.83628390412646,FALSE
1vbi_A,3,ca,0.0488637460194924,0.887550938464987,FALSE
2bbr_A,1,all,0.396268184693232,2.282315380857e-07,TRUE
2bbr_A,1,bb,0.398798228969007,1.88374402490142e-07,TRUE
2bbr_A,1,ca,0.380139152435168,8.44249034341095e-07,TRUE
2bbr_A,2,all,0.308981657179001,0.000126602756410482,TRUE
2bbr_A,2,bb,0.228969006957622,0.00977136639704976,TRUE
2bbr_A,2,ca,0.21505376344086,0.0181682288395775,TRUE
2bbr_A,3,all,0.287160025300443,0.000473519125145054,TRUE
2bbr_A,3,bb,0.25774826059456,0.00238570347144962,TRUE
2bbr_A,3,ca,0.374446552814674,1.31312777696565e-06,TRUE
1y7t_B,1,all,0.228736581337737,0.000396687456291249,TRUE
1y7t_B,1,bb,0.208693041062983,0.00165543307741973,TRUE
1y7t_B,1,ca,0.119360408377749,0.196066132009352,FALSE
1y7t_B,2,all,0.403798513625103,5.78325697611638e-12,TRUE
1y7t_B,2,bb,0.393213722693492,2.28655250831141e-11,TRUE
1y7t_B,2,ca,0.315591922528339,1.78944244425588e-07,TRUE
1y7t_B,3,all,0.275842654455371,8.24889070942219e-06,TRUE
1y7t_B,3,bb,0.127618046693191,0.140713066366853,FALSE
